Mitigation ID,Occurrences,Techniques,Priority
M1027,21,T1003 (score: 2); T1003.001 (score: 2); T1021 (score: 2); T1021.002 (score: 2); T1078 (score: 2); T1003.002 (score: 3); T1003.003 (score: 3); T1003.004 (score: 3); T1555 (score: 7); T1555.003 (score: 7); T1555.005 (score: 7); T1003.006 (score: 7); T1552 (score: 7); T1078.004 (score: 7); T1550 (score: 8); T1550.003 (score: 8); T1556 (score: 9); T1552.001 (score: 9); T1552.004 (score: 9); T1110 (score: 13); T1110.002 (score: 13),130
M1051,16,T1546 (score: 2); T1068 (score: 2); T1190 (score: 3); T1210 (score: 3); T1574 (score: 3); T1574.002 (score: 3); T1555 (score: 7); T1555.005 (score: 7); T1552 (score: 7); T1548 (score: 8); T1548.002 (score: 8); T1189 (score: 8); T1542 (score: 13); T1195 (score: 13); T1195.002 (score: 13); T1550.002 (score: 13),113
M1040,24,T1059 (score: 1); T1059.005 (score: 1); T1036 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1486 (score: 2); T1546.003 (score: 2); T1027 (score: 2); T1027.010 (score: 2); T1003 (score: 2); T1003.001 (score: 2); T1055 (score: 2); T1055.004 (score: 2); T1047 (score: 2); T1574 (score: 3); T1106 (score: 3); T1027.013 (score: 3); T1055.012 (score: 3); T1006 (score: 9); T1059.007 (score: 13); T1543 (score: 13); T1543.003 (score: 13); T1569 (score: 13); T1569.002 (score: 13),109
M1042,19,T1059 (score: 1); T1059.001 (score: 1); T1059.005 (score: 1); T1218 (score: 1); T1021 (score: 2); T1021.001 (score: 2); T1210 (score: 3); T1046 (score: 3); T1021.004 (score: 3); T1218.004 (score: 3); T1505 (score: 4); T1505.003 (score: 4); T1114.003 (score: 7); T1133 (score: 7); T1219 (score: 9); T1595.003 (score: 13); T1059.007 (score: 13); T1021.006 (score: 14); T1021.005 (score: 15),106
M1021,18,T1059 (score: 1); T1059.005 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1218 (score: 1); T1204 (score: 1); T1566.002 (score: 2); T1204.001 (score: 2); T1102 (score: 2); T1568 (score: 3); T1189 (score: 8); T1102.001 (score: 8); T1567 (score: 9); T1567.002 (score: 9); T1102.002 (score: 11); T1059.007 (score: 13); T1568.002 (score: 13); T1218.001 (score: 13),99
M1037,14,T1071 (score: 1); T1218 (score: 1); T1048 (score: 2); T1048.003 (score: 2); T1021.002 (score: 2); T1090 (score: 3); T1552 (score: 7); T1530 (score: 9); T1572 (score: 9); T1219 (score: 9); T1071.004 (score: 12); T1197 (score: 13); T1570 (score: 13); T1021.005 (score: 15),98
M1030,16,T1571 (score: 1); T1482 (score: 2); T1048 (score: 2); T1048.003 (score: 2); T1021.001 (score: 2); T1190 (score: 3); T1210 (score: 3); T1046 (score: 3); T1199 (score: 3); T1098 (score: 7); T1136 (score: 7); T1136.003 (score: 7); T1133 (score: 7); T1489 (score: 7); T1098.001 (score: 9); T1021.006 (score: 14),79
M1054,10,T1566 (score: 1); T1566.001 (score: 1); T1566.002 (score: 2); T1553 (score: 3); T1562 (score: 6); T1555.005 (score: 7); T1598 (score: 7); T1539 (score: 9); T1543 (score: 13); T1562.006 (score: 13),62
M1024,9,T1112 (score: 2); T1574 (score: 3); T1553 (score: 3); T1505 (score: 4); T1562 (score: 6); T1562.001 (score: 6); T1489 (score: 7); T1556 (score: 9); T1562.002 (score: 14),54
M1033,5,T1059.006 (score: 4); T1564 (score: 9); T1543 (score: 13); T1195 (score: 13); T1021.005 (score: 15),54
M1013,8,T1078 (score: 2); T1574 (score: 3); T1574.002 (score: 3); T1593 (score: 7); T1593.003 (score: 7); T1550 (score: 8); T1564 (score: 9); T1195 (score: 13),52
M1041,10,T1070 (score: 2); T1070.001 (score: 2); T1003 (score: 2); T1119 (score: 3); T1003.003 (score: 3); T1114 (score: 7); T1114.003 (score: 7); T1552 (score: 7); T1530 (score: 9); T1552.004 (score: 9),51
M1049,13,T1059 (score: 1); T1059.001 (score: 1); T1059.005 (score: 1); T1036 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1027 (score: 2); T1027.010 (score: 2); T1027.013 (score: 3); T1059.006 (score: 4); T1080 (score: 8); T1564 (score: 9); T1027.002 (score: 13),47
M1035,7,T1021 (score: 2); T1021.001 (score: 2); T1021.002 (score: 2); T1133 (score: 7); T1552 (score: 7); T1546.008 (score: 13); T1542 (score: 13),46
M1050,9,T1218 (score: 1); T1218.010 (score: 1); T1068 (score: 2); T1190 (score: 3); T1210 (score: 3); T1203 (score: 4); T1189 (score: 8); T1080 (score: 8); T1218.011 (score: 13),43
M1015,7,T1003 (score: 2); T1078 (score: 2); T1003.006 (score: 7); T1552 (score: 7); T1078.004 (score: 7); T1550 (score: 8); T1550.003 (score: 8),41
M1046,3,T1542 (score: 13); T1542.003 (score: 13); T1195 (score: 13),39
M1045,7,T1059 (score: 1); T1059.001 (score: 1); T1036 (score: 1); T1036.005 (score: 1); T1505 (score: 4); T1543 (score: 13); T1543.003 (score: 13),34
M1016,4,T1190 (score: 3); T1210 (score: 3); T1195 (score: 13); T1195.002 (score: 13),32
M1052,4,T1574 (score: 3); T1548 (score: 8); T1548.002 (score: 8); T1550.002 (score: 13),32
M1057,5,T1048 (score: 2); T1048.003 (score: 2); T1005 (score: 3); T1567 (score: 9); T1041 (score: 13),29
M1036,4,T1078 (score: 2); T1621 (score: 7); T1078.004 (score: 7); T1110 (score: 13),29
M1055,2,T1480 (score: 13); T1480.001 (score: 13),26
M1048,5,T1068 (score: 2); T1190 (score: 3); T1210 (score: 3); T1203 (score: 4); T1189 (score: 8),20
M1025,3,T1003 (score: 2); T1003.001 (score: 2); T1556 (score: 9),13
M1019,3,T1068 (score: 2); T1210 (score: 3); T1656 (score: 7),12
M1029,4,T1070 (score: 2); T1070.001 (score: 2); T1119 (score: 3); T1070.003 (score: 3),10
M1053,2,T1486 (score: 2); T1485 (score: 7),9
M1020,3,T1573 (score: 2); T1573.002 (score: 2); T1090 (score: 3),7
M1044,2,T1574 (score: 3); T1574.001 (score: 3),6
M1043,2,T1003 (score: 2); T1003.001 (score: 2),4
M1039,1,T1070.003 (score: 3),3
