Mitigation ID,Occurrences,Techniques,Priority
M1017,41,T1036 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1221 (score: 2); T1566.003 (score: 3); T1078 (score: 3); T1078.002 (score: 3); T1027 (score: 4); T1003 (score: 4); T1003.002 (score: 4); T1003.003 (score: 4); T1003.004 (score: 4); T1003.001 (score: 5); T1003.005 (score: 5); T1566.002 (score: 5); T1552 (score: 5); T1552.001 (score: 5); T1204.001 (score: 5); T1213 (score: 8); T1598 (score: 8); T1598.003 (score: 8); T1072 (score: 8); T1539 (score: 8); T1657 (score: 9); T1598.002 (score: 20); T1213.001 (score: 24); T1213.002 (score: 24); T1213.003 (score: 24); T1656 (score: 24); T1111 (score: 24); T1621 (score: 24); T1598.004 (score: 24); T1552.008 (score: 24); T1078.004 (score: 24); T1557 (score: 26); T1176 (score: 26); T1036.007 (score: 47); T1557.002 (score: 54); T1528 (score: 57),561
M1030,24,T1571 (score: 1); T1190 (score: 3); T1095 (score: 3); T1210 (score: 4); T1046 (score: 4); T1021.001 (score: 4); T1199 (score: 4); T1098 (score: 8); T1136 (score: 8); T1136.002 (score: 8); T1133 (score: 8); T1040 (score: 8); T1072 (score: 8); T1136.003 (score: 24); T1489 (score: 24); T1557 (score: 26); T1048 (score: 37); T1048.003 (score: 37); T1482 (score: 40); T1021.006 (score: 49); T1563 (score: 51); T1563.002 (score: 51); T1098.001 (score: 57); T1048.002 (score: 57),524
M1040,34,T1059 (score: 1); T1059.005 (score: 1); T1036 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1106 (score: 3); T1047 (score: 3); T1574 (score: 4); T1027 (score: 4); T1027.013 (score: 4); T1003 (score: 4); T1055 (score: 4); T1055.012 (score: 4); T1059.007 (score: 5); T1559 (score: 5); T1559.002 (score: 5); T1027.010 (score: 5); T1137 (score: 5); T1137.001 (score: 5); T1003.001 (score: 5); T1543 (score: 8); T1543.003 (score: 8); T1486 (score: 8); T1036.008 (score: 8); T1546.003 (score: 12); T1055.001 (score: 12); T1091 (score: 18); T1055.002 (score: 19); T1569 (score: 31); T1569.002 (score: 31); T1216.001 (score: 37); T1137.006 (score: 50); T1055.013 (score: 55); T1137.004 (score: 61),428
M1038,36,T1059 (score: 1); T1059.001 (score: 1); T1059.005 (score: 1); T1036 (score: 1); T1036.005 (score: 1); T1218 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1564.003 (score: 2); T1059.003 (score: 3); T1562 (score: 3); T1106 (score: 3); T1047 (score: 3); T1574 (score: 4); T1574.001 (score: 4); T1553 (score: 4); T1218.004 (score: 4); T1548 (score: 5); T1059.006 (score: 5); T1059.007 (score: 5); T1562.001 (score: 5); T1219 (score: 5); T1218.003 (score: 5); T1218.005 (score: 5); T1036.008 (score: 8); T1080 (score: 9); T1068 (score: 10); T1546.008 (score: 16); T1220 (score: 17); T1547.004 (score: 18); T1176 (score: 26); T1216 (score: 37); T1216.001 (score: 37); T1059.009 (score: 57); T1553.005 (score: 57); T1218.001 (score: 61),426
M1037,21,T1071 (score: 1); T1218 (score: 1); T1187 (score: 2); T1095 (score: 3); T1021.002 (score: 3); T1090 (score: 4); T1219 (score: 5); T1552 (score: 5); T1499 (score: 8); T1570 (score: 8); T1572 (score: 8); T1197 (score: 12); T1090.003 (score: 12); T1071.004 (score: 18); T1557 (score: 26); T1021.005 (score: 29); T1048 (score: 37); T1048.003 (score: 37); T1557.002 (score: 54); T1048.002 (score: 57); T1530 (score: 60),390
M1028,26,T1087 (score: 3); T1087.002 (score: 3); T1053 (score: 3); T1053.005 (score: 3); T1003 (score: 4); T1003.002 (score: 4); T1021.001 (score: 4); T1553 (score: 4); T1548 (score: 5); T1003.001 (score: 5); T1003.005 (score: 5); T1552 (score: 5); T1098 (score: 8); T1136 (score: 8); T1136.002 (score: 8); T1543 (score: 8); T1543.003 (score: 8); T1135 (score: 10); T1197 (score: 12); T1087.001 (score: 15); T1546.008 (score: 16); T1564.002 (score: 20); T1053.002 (score: 30); T1036.007 (score: 47); T1563.002 (score: 51); T1556 (score: 57),346
M1015,13,T1078 (score: 3); T1003 (score: 4); T1003.005 (score: 5); T1552 (score: 5); T1072 (score: 8); T1003.006 (score: 24); T1078.004 (score: 24); T1550 (score: 26); T1550.003 (score: 30); T1558 (score: 31); T1558.001 (score: 31); T1606.002 (score: 57); T1649 (score: 57),305
M1054,18,T1566 (score: 1); T1566.001 (score: 1); T1562 (score: 3); T1553 (score: 4); T1559 (score: 5); T1559.002 (score: 5); T1137 (score: 5); T1566.002 (score: 5); T1543 (score: 8); T1598 (score: 8); T1598.003 (score: 8); T1539 (score: 8); T1598.002 (score: 20); T1546.013 (score: 22); T1555.005 (score: 24); T1606 (score: 57); T1606.001 (score: 57); T1550.004 (score: 57),298
M1051,20,T1190 (score: 3); T1210 (score: 4); T1574 (score: 4); T1574.002 (score: 4); T1548 (score: 5); T1548.002 (score: 5); T1555 (score: 5); T1137 (score: 5); T1552 (score: 5); T1072 (score: 8); T1195 (score: 8); T1195.002 (score: 8); T1068 (score: 10); T1189 (score: 12); T1546 (score: 12); T1555.005 (score: 24); T1176 (score: 26); T1550.002 (score: 26); T1110.001 (score: 57); T1137.004 (score: 61),292
M1021,21,T1059 (score: 1); T1059.005 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1218 (score: 1); T1204 (score: 1); T1567 (score: 3); T1567.002 (score: 3); T1566.003 (score: 3); T1568 (score: 4); T1059.007 (score: 5); T1566.002 (score: 5); T1204.001 (score: 5); T1102 (score: 5); T1102.002 (score: 5); T1189 (score: 12); T1102.003 (score: 12); T1102.001 (score: 30); T1528 (score: 57); T1550.001 (score: 57); T1218.001 (score: 61),273
