Mitigation ID,Occurrences,Techniques,Priority
M1042,22,T1059 (score: 1); T1059.001 (score: 1); T1210 (score: 1); T1046 (score: 1); T1021 (score: 1); T1021.001 (score: 1); T1021.004 (score: 1); T1218 (score: 1); T1218.004 (score: 1); T1059.005 (score: 2); T1133 (score: 3); T1559 (score: 3); T1559.002 (score: 3); T1505 (score: 3); T1505.003 (score: 3); T1218.005 (score: 5); T1114.003 (score: 6); T1219 (score: 8); T1021.006 (score: 12); T1563 (score: 13); T1563.002 (score: 13); T1021.005 (score: 14),97
M1038,25,T1059 (score: 1); T1059.001 (score: 1); T1059.003 (score: 1); T1574 (score: 1); T1574.001 (score: 1); T1036 (score: 1); T1036.005 (score: 1); T1106 (score: 1); T1553 (score: 1); T1218 (score: 1); T1218.004 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1047 (score: 1); T1059.005 (score: 2); T1562 (score: 4); T1562.001 (score: 5); T1218.005 (score: 5); T1068 (score: 6); T1548 (score: 7); T1059.006 (score: 7); T1080 (score: 7); T1219 (score: 8); T1546.008 (score: 13); T1564.003 (score: 15),93
M1040,23,T1059 (score: 1); T1574 (score: 1); T1036 (score: 1); T1106 (score: 1); T1027 (score: 1); T1027.013 (score: 1); T1003 (score: 1); T1055 (score: 1); T1055.012 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1047 (score: 1); T1059.005 (score: 2); T1546.003 (score: 3); T1559 (score: 3); T1559.002 (score: 3); T1003.001 (score: 3); T1055.001 (score: 3); T1486 (score: 8); T1006 (score: 8); T1543 (score: 12); T1543.003 (score: 12); T1027.010 (score: 14),83
M1030,15,T1190 (score: 1); T1210 (score: 1); T1046 (score: 1); T1021.001 (score: 1); T1199 (score: 1); T1571 (score: 2); T1133 (score: 3); T1098 (score: 6); T1136 (score: 6); T1136.003 (score: 6); T1489 (score: 6); T1098.001 (score: 8); T1021.006 (score: 12); T1563 (score: 13); T1563.002 (score: 13),80
M1051,14,T1190 (score: 1); T1210 (score: 1); T1574 (score: 1); T1574.002 (score: 1); T1189 (score: 3); T1546 (score: 3); T1555 (score: 6); T1555.005 (score: 6); T1068 (score: 6); T1552 (score: 6); T1548 (score: 7); T1548.002 (score: 7); T1195 (score: 12); T1195.002 (score: 12),72
M1037,12,T1090 (score: 1); T1218 (score: 1); T1197 (score: 3); T1572 (score: 3); T1090.003 (score: 3); T1021.002 (score: 4); T1552 (score: 6); T1071 (score: 7); T1530 (score: 8); T1219 (score: 8); T1071.004 (score: 11); T1021.005 (score: 14),69
M1033,6,T1059.006 (score: 7); T1564 (score: 8); T1543 (score: 12); T1195 (score: 12); T1021.005 (score: 14); T1564.003 (score: 15),68
M1024,10,T1574 (score: 1); T1553 (score: 1); T1505 (score: 3); T1562 (score: 4); T1562.004 (score: 4); T1562.001 (score: 5); T1489 (score: 6); T1556 (score: 8); T1562.002 (score: 12); T1112 (score: 12),56
M1049,13,T1059 (score: 1); T1059.001 (score: 1); T1036 (score: 1); T1027 (score: 1); T1027.013 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1059.005 (score: 2); T1027.002 (score: 5); T1059.006 (score: 7); T1080 (score: 7); T1564 (score: 8); T1027.010 (score: 14),50
M1054,11,T1566 (score: 1); T1566.001 (score: 1); T1553 (score: 1); T1559 (score: 3); T1559.002 (score: 3); T1566.002 (score: 3); T1562 (score: 4); T1555.005 (score: 6); T1598 (score: 6); T1539 (score: 8); T1543 (score: 12),48
M1021,16,T1059 (score: 1); T1568 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1218 (score: 1); T1204 (score: 1); T1059.005 (score: 2); T1189 (score: 3); T1567 (score: 3); T1567.002 (score: 3); T1566.002 (score: 3); T1204.001 (score: 3); T1102 (score: 3); T1102.003 (score: 3); T1102.001 (score: 7); T1102.002 (score: 10),46
M1013,9,T1574 (score: 1); T1574.002 (score: 1); T1078 (score: 1); T1559 (score: 3); T1593 (score: 6); T1593.003 (score: 6); T1550 (score: 7); T1564 (score: 8); T1195 (score: 12),45
M1035,7,T1021 (score: 1); T1021.001 (score: 1); T1133 (score: 3); T1021.002 (score: 4); T1552 (score: 6); T1546.008 (score: 13); T1563.002 (score: 13),41
M1050,9,T1190 (score: 1); T1210 (score: 1); T1218 (score: 1); T1189 (score: 3); T1203 (score: 3); T1218.010 (score: 3); T1068 (score: 6); T1080 (score: 7); T1218.011 (score: 15),40
M1041,9,T1119 (score: 1); T1070 (score: 1); T1003 (score: 1); T1003.003 (score: 1); T1114 (score: 6); T1114.003 (score: 6); T1552 (score: 6); T1530 (score: 8); T1552.004 (score: 8),38
M1015,7,T1003 (score: 1); T1078 (score: 1); T1003.006 (score: 6); T1552 (score: 6); T1078.004 (score: 6); T1550 (score: 7); T1550.003 (score: 7),34
